,genes,proteins
222,ENSMUSG00000053773,ENSMUSP00000067662
223,ENSMUSG00000045625,"['ENSMUSP00000057509', 'ENSMUSP00000155940', 'ENSMUSP00000156038', 'ENSMUSP00000156116']"
224,ENSMUSG00000020167,"['ENSMUSP00000020377', 'ENSMUSP00000020379', 'ENSMUSP00000100976', 'ENSMUSP00000100977', 'ENSMUSP00000100978', 'ENSMUSP00000100979', 'ENSMUSP00000100980', 'ENSMUSP00000100981', 'ENSMUSP00000100982', 'ENSMUSP00000100983', 'ENSMUSP00000120303', 'ENSMUSP00000121172']"
225,ENSMUSG00000034266,ENSMUSP00000040706
226,ENSMUSG00000062169,"['ENSMUSP00000106688', 'ENSMUSP00000115772', 'ENSMUSP00000141442']"
227,ENSMUSG00000000276,"['ENSMUSP00000000285', 'ENSMUSP00000103526', 'ENSMUSP00000116277']"
228,ENSMUSG00000006763,ENSMUSP00000120658
229,ENSMUSG00000103332,ENSMUSP00000141482
230,ENSMUSG00000071065,"['ENSMUSP00000092873', 'ENSMUSP00000149115', 'ENSMUSP00000150380']"
231,ENSMUSG00000032908,ENSMUSP00000036656
232,ENSMUSG00000038676,"['ENSMUSP00000035321', 'ENSMUSP00000144390']"
233,ENSMUSG00000037466,"['ENSMUSP00000035351', 'ENSMUSP00000143367', 'ENSMUSP00000143431']"
234,ENSMUSG00000036377,"['ENSMUSP00000084125', 'ENSMUSP00000112941', 'ENSMUSP00000113485', 'ENSMUSP00000113796', 'ENSMUSP00000113947', 'ENSMUSP00000116870', 'ENSMUSP00000119799', 'ENSMUSP00000127212', 'ENSMUSP00000159046']"
235,ENSMUSG00000070637,ENSMUSP00000092122
236,ENSMUSG00000019689,ENSMUSP00000019833
237,ENSMUSG00000028391,"['ENSMUSP00000030087', 'ENSMUSP00000103076', 'ENSMUSP00000112719', 'ENSMUSP00000116182', 'ENSMUSP00000120684', 'ENSMUSP00000123624']"
238,ENSMUSG00000067998,ENSMUSP00000086314
239,ENSMUSG00000095893,"['ENSMUSP00000076912', 'ENSMUSP00000138035']"
240,ENSMUSG00000023034,"['ENSMUSP00000023779', 'ENSMUSP00000155056', 'ENSMUSP00000155225']"
241,ENSMUSG00000070934,ENSMUSP00000088591
